query,answer
这个扫地机器人能扫哪些地面？,扫地机器人可以清扫瓷砖、木地板以及短毛地毯等地面。不过，对于长毛地毯，则需要确认该机器人的越障能力是否足够。
dToF导航技术是什么？,dToF导航技术是直接飞行时间测距（direct Time-of-Flight）技术的一种。与传统的LDS激光测距相比，dToF技术能提供更高的测量精度，并且能够探测到更远的距离（可达10米），因此在扫地机器人中用于实现更加精准的环境感知和定位。
app里面清洁记录作用是什么,APP中的清洁记录用于查看历史清洁面积、时长等信息，以此来评估清洁效率和耗材寿命。用户可以通过这些数据了解机器人的工作情况，并据此调整使用策略以优化清洁效果。
它能使用哪些语音助手,常见的支持语音控制的语音助手有小爱同学、天猫精灵、Google Assistant等。
HEPA 滤网要换吗？,建议每 3-6 个月更换 HEPA 滤网，因为水洗会降低其过滤效果。
异常报警提示咋整？,异常报警提示的处理方法是先查看错误代码，根据常见问题指引在 APP 中找到相应的解决方案。如果还是无法解决，可以联系客服获取进一步的帮助。
地毯多的家庭怎么使用,对于地毯多的家庭来说，建议选择带有专用地毯增压模式的机型，以提升清洁效果。目前地毯清洁效率仍然较低，仅限概念产品，因此需谨慎考虑。同时，可以关注是否有动态边刷或方形机身的机型，这些设计也有助于提升边角清洁效果。
要买高端机型吗？,如果您追求更高的自动化程度和免维护体验，那么购买高端机型是一个不错的选择。高端机型通常在清洁效果、智能避障以及使用便利性等方面表现更佳，能够更好地满足您的需求。
什么是自动集尘原理？,自动集尘的原理是在基站内产生强大吸力，将扫地机器人垃圾箱中的垃圾吸入到基站内的密封集尘袋中。这样设计可以避免灰尘外泄，并且减少了用户需要频繁清理机器人的频率，使清洁更加方便和卫生。
太阳能充电扫地机器人能使用吗？,目前太阳能充电扫地机器人的效率太低，仅限概念产品。实际应用中还不成熟。
拖地时怎么避免水渍？,调节合适出水量，并使用专用拖地模式可以有效避免水渍。
主刷要换吗,主刷需要定期检查磨损情况，建议每 6-12 个月检查一次。如果出现严重磨损，则需要更换。
怎么避免泄露家庭地图隐私？,为了避免泄露家庭地图隐私，您可以选择那些支持本地存储地图功能的机型，并关闭云同步功能。这样可以减少通过网络传输数据带来的安全风险，使您的家庭地图信息更加私密和安全。
适合商业场所吗？,对于小面积的商业场所来说，普通的扫地机器人是合适的。但是，如果商业场所的面积较大，则需要使用专业商用级别的机型来满足清洁需求。
跟洗地机相比效果怎样？,与洗地机相比，扫地机器人的清洁力较弱，但操作更自动化。洗地机的清洁能力更强，但需要人工操作。
耗电吗,不大，一次清扫大约耗电0.1-0.3度。
中国市场普及了吗,中国市场从2015年开始随着小米生态链产品兴起而快速普及。
机器人会自杀吗？,传感器故障时可能从高处跌落，但这种情况非常罕见。
